コード,銘柄名,対象外,IRニュースURL,備考,出来高13万以上かつ株価100円以上
1301,極洋,,https://www.kyokuyo.co.jp/news/index.html?c=ir,,0
1305,ダイワ上場投信－トピックス,1,-,,
1306,ＴＯＰＩＸ連動型上場投信,1,,,
1308,上場インデックスファンドＴＯＰＩＸ,1,,,
1309,ＮＥＸＴＦＵＮＤＳ中国株式上証５０連動型,1,,,1
1311,ＴＯＰＩＸＣｏｒｅ３０連動型上場投信,1,,,
1312,ラッセル野村小型コア・インデックス連動型,1,,,
1313,サムスンＫＯＤＥＸ２００上場指数投資信託,1,,,
1319,日経３００株価指数連動型上場投信,1,,,
1320,ダイワ上場投信－日経２２５,1,,,
1321,日経２２５連動型上場投信,1,,,
1322,上場インデックス中国ＡパンダＥ　ＦＵＮＤ,1,,,
1324,ロシア株式指数連動型上場投信,1,,,
1325,ブラジル株式指数・ボベスパ連動型上場投信,1,,,
1326,ＳＰＤＲゴールド・シェア　受益証券,1,,,
1328,金価格連動型上場投信,1,,,
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,1,,,
1330,上場インデックスファンド２２５,1,,,
1332,日本水産,,https://www.nissui.co.jp/news/ir.html,,1
1333,マルハニチロ,,https://www.maruha-nichiro.co.jp/corporate/ir,,0
1343,東証ＲＥＩＴ指数連動型上場投信,1,,,
1345,上場インデックスファンドＪリート隔月分配,1,,,
1346,ＭＡＸＩＳ　日経２２５上場投信,1,,,
1348,ＭＡＸＩＳ　トピックス上場投信,1,,,
1349,ＡＢＦ汎アジア債券インデックス・ファンド,1,,,
1356,ＴＯＰＩＸベア２倍上場投信,1,,,
1357,日経平均ダブルインバース・インデックス,1,,,
1358,上場インデックスＦ日経レバレッジ指数,1,,,
1360,日経平均ベア２倍上場投信,1,,,
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,1,,,
1365,ダイワ日経平均レバレッジ・インデックス,1,,,
1366,ダイワ日経平均Ｗインバース・インデックス,1,,,
1367,ダイワＴＯＰＩＸレバレッジ,1,,,
1368,ダイワＴＯＰＩＸダブルインバース,1,,,
1369,Ｏｎｅ　ＥＴＦ　日経２２５,1,,,
1375,（株）雪国まいたけ,,https://www.maitake.co.jp/ir/news,,0
1376,カネコ種苗,,http://www.kanekoseeds.jp/finance/ir_library.html,,0
1377,サカタのタネ,,https://corporate.sakataseed.co.jp/ir/index.html,,0
1379,ホクト,,https://www.hokto-kinoko.co.jp/corporate/ir/news,,0
1380,秋川牧園,,https://www.akikawabokuen.com/ir-securities/,,0
1381,アクシーズ,,https://www.axeeds.com/,IR欄が無い,0
1382,（株）ホーブ,,https://hob.co.jp/ir_information/ir_document,,0
1383,ベルグアース,,https://bergearth.co.jp/category/news/irinfo,,0
1384,（株）ホクリヨウ,,https://www.hokuryo.co.jp/ir/ir_news,,0
1385,ＵＢＳ　ＥＴＦ　ユーロ圏大型株５０,1,,,
1386,ＵＢＳ　ＥＴＦ　欧州株,1,,,
1387,ＵＢＳ　ＥＴＦ　ユーロ圏株,1,,,
1388,ＵＢＳ　ＥＴＦ　ユーロ圏小型株,1,,,
1389,ＵＢＳ　ＥＴＦ　英国大型株１００,1,,,
1390,ＵＢＳ　ＥＴＦ　ＭＳＣＩアジア太平洋株,1,,,
1391,ＵＢＳ　ＥＴＦ　スイス株,1,,,
1392,ＵＢＳ　ＥＴＦ　英国株,1,,,
1393,ＵＢＳ　ＥＴＦ　米国株,1,,,
1394,ＵＢＳ　ＥＴＦ　先進国株,1,,,
1397,ＳＭＤＡＭ　日経２２５上場投信,1,,,
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,1,,,
1399,ＭＳＣＩ日本株高配当低ボラティリティ,1,,,
1400,ルーデン・ホールディングス,,https://www.ruden.jp/ir/,,0
1401,（株）エムビーエス,,https://www.homemakeup.co.jp/ir/,,0
1407,（株）ウエストホールディングス,,https://www.west-gr.co.jp/ir/,,1
1414,ショーボンドホールディングス,,https://www.sho-bondhd.jp/ir/news/,,1
1417,（株）ミライト・ワン,,https://ir.mirait-one.com/,,1
1418,インターライフホールディングス,,https://www.n-interlife.co.jp/ir/irnews.html,,0
1419,タマホーム,,https://www.tamahome.jp/company/ir/release.html,,0
1420,サンヨーホームズ,,https://www.sanyohomes.co.jp/ir/news.html,,0
1429,（株）日本アクア,,https://www.n-aqua.jp/ir/ir_news/,,0
1430,ファーストコーポレーション,,https://www.1st-corp.com/ir/,,0
1431,（株）Ｌｉｂ　Ｗｏｒｋ,,https://www.libwork.co.jp/ir-news/,,0
1433,ベステラ,,https://www.besterra.co.jp/ir/news/,,0
1434,ＪＥＳＣＯホールディングス,,https://www.jesco.co.jp/ja/news/ir.html,,0
1435,（株）Ｒｏｂｏｔ　Ｈｏｍｅ,,https://corp.robothome.jp/ir/news,,0
1436,（株）フィット,,https://www.fit-group.jp/ir/ir_type/ir_news/,,0
1438,（株）岐阜造園,,https://www.gifu-zohen.co.jp/ir/,,0
1439,（株）安江工務店,,https://www.yasue.co.jp/ir/,,0
1443,技研ホールディングス,,http://www.giken-hd.co.jp/20171128105820,,0
1444,（株）ニッソウ,,https://reform-nisso.co.jp/company/ir/,,0
1446,（株）キャンディル,,https://www.candeal.co.jp/ir/,,0
1447,ＩＴｂｏｏｋホールディングス,,https://www.itbook-hd.co.jp/ir/,,0
1449,（株）ＦＵＪＩジャパン,,https://www.fujijapan.net/ir/,,0
1450,田中建設工業,,https://www.tanaken-1982.co.jp/ja/ir/news.html,,0
1451,（株）ＫＨＣ,,https://www.khc-ltd.co.jp/ir/,,0
1456,ダイワ日経平均インバース・インデックス,1,,,
1457,ダイワＴＯＰＩＸインバース（－１倍）指数,1,,,
1458,楽天ＥＴＦ－日経レバレッジ指数連動型,1,,,
1459,楽天ＥＴＦ－日経Ｗインバース指数連動型,1,,,
1464,ダイワ上場投信ＪＰＸ日経４００レバレッジ,1,,,
1465,ダイワ上場投信ＪＰＸ日経４００インバース,1,,,
1466,ダイワ上場投信ＪＰＸ日経４００Ｗインバー,1,,,
1467,ＪＰＸ日経４００ブル２倍上場投信,1,,,
1468,ＪＰＸ日経４００ベア上場投信,1,,,
1469,ＪＰＸ日経４００ベア２倍上場投信,1,,,
1472,ＮＥＸＴＦＵＮＤＳＪＰＸ４００Ｗインバー,1,,,
1473,Ｏｎｅ　ＥＴＦ　トピックス,1,,,
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,1,,,
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,1,,,
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,1,,,
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散,1,,,
1478,ｉシェアーズＭＳＣＩジャパン高配当利回り,1,,,
1479,ダイワ上場投信ＭＳＣＩ日本株人材設備投資,1,,,
1480,ＮＥＸＴＦＵＮＤＳ野村企業価値分配指数,1,,,
1481,上場インデックスファンド日本経済貢献株,1,,,
1482,ｉシェアーズコア米債７－１０年ＥＴＦ為有,1,,,
1483,ｉシェアーズＪＰＸ／Ｓ＆Ｐ設備・人材投資,1,,,
1484,ＯｎｅＪＰＸ／Ｓ＆Ｐ設備・人材投資指数,1,,,
1485,ＭＡＸＩＳ設備・人材積極投資企業２００,1,,,
1486,上場インデックスファンド米国債券為替なし,1,,,
1487,上場インデックスファンド米国債券為替あり,1,,,
1488,ダイワ上場投信－東証ＲＥＩＴ指数,1,,,
1489,ＮＥＸＴＦＵＮＤＳ日経平均高配当株５０,1,,,
1490,日本株高配当低ボラティリティ（βヘッジ）,1,,,
1491,中外鉱業,,https://www.chugaikogyo.co.jp/ir/ir_news/,,0
1492,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数,1,,,
1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,1,,,
1494,Ｏｎｅ　ＥＴＦ　高配当日本株,1,,,
1495,上場インデックスファンドアジアリート,1,,,
1496,ｉシェアーズ米ドル建て投資適格社債為あり,1,,,
1497,ｉシェアーズ米ドル建てハイイールド為あり,1,,,
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,1,,,
1499,日本株高配当７０マーケットニュートラル,1,,,
1514,住石ホールディングス,,https://www.nittetsukou.co.jp/ir/,,1
1515,日鉄鉱業,,https://www.nittetsukou.co.jp/ir/,,0
1518,三井松島ホールディングス,,https://www.mitsui-matsushima.co.jp/sp/ir/news/index.php,,1
1540,純金上場信託（現物国内保管型）,1,,,
1541,純プラチナ上場信託（現物国内保管型）,1,,,
1542,純銀上場信託（現物国内保管型）,1,,,
1543,純パラジウム上場信託（現物国内保管型）,1,,,
1545,ＮＡＳＤＡＱ－１００為なし連動型上場投信,1,,,
1546,ダウジョーンズ工業株３０種平均株価為なし,1,,,
1547,上場インデックスファンド米国株式,1,,,
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）,1,,,
1551,東証スタンダードＴＯＰ２０ＥＴＦ,1,,,
1552,ＶＩＸ短期先物指数,1,,,
1553,ＭＡＸＩＳ　Ｓ＆Ｐ東海上場投信,1,,,
1554,上場インデックスファンド世界株式除く日本,1,,,
1555,上場インデックスファンド豪州リート,1,,,
1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,1,,,
1559,タイ株式ＳＥＴ５０指数,1,,,
1560,ＦＴＳＥブルサ・マレーシアＫＬＣＩ指数,1,,,
1563,東証グロース・コアＥＴＦ,1,,,
1566,上場インデックスファンド新興国債券,1,,,
1568,ＴＯＰＩＸブル２倍上場投信,1,,,
1569,ＴＯＰＩＸベア上場投信,1,,,
1570,日経平均レバレッジ・インデックス連動,1,,,
1571,日経平均インバース・インデックス連動,1,,,
1572,中国Ｈ株ブル２倍上場投信,1,,,
1573,中国Ｈ株ベア上場投信,1,,,
1577,ＮＥＸＴＦＵＮＤＳ野村日本株高配当７０,1,,,
1578,上場インデックスファンド日経２２５ミニ,1,,,
1579,日経平均ブル２倍上場投信,1,,,
1580,日経平均ベア上場投信,1,,,
1584,サムスンＫＯＤＥＸサムスンＧ上場指数投資,1,,,
1585,ダイワ上場投信・ＴＯＰＩＸ　Ｅｘ－Ｆ,1,,,
1586,上場インデックスＦ　ＴＯＰＩＸ　Ｅｘ－Ｆ,1,,,
1591,ＮＥＸＴＦＵＮＤＳＪＰＸ日経インデ４００,1,,,
1592,上場インデックスＪＰＸ日経インデ４００,1,,,
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００,1,,,
1595,ＮＺＡＭ上場投信東証ＲＥＩＴ指数,1,,,
1596,ＮＺＡＭ上場投信ＴＯＰＩＸ　Ｅｘ－Ｆｉｎ,1,,,
1597,ＭＡＸＩＳ　Ｊリート上場投信,1,,,
1599,ダイワ上場投信－ＪＰＸ日経４００,1,,,
1605,（株）ＩＮＰＥＸ,,https://www.inpex.co.jp/ir/library/,,1
1615,東証銀行業株価指数連動型上場投信,1,,,
1617,ＴＯＰＩＸ－１７　食品,1,,,
1618,ＴＯＰＩＸ－１７　エネルギー資源,1,,,
1619,ＴＯＰＩＸ－１７　建設・資材,1,,,
1620,ＴＯＰＩＸ－１７　素材・化学,1,,,
1621,ＴＯＰＩＸ－１７　医薬品,1,,,
1622,ＴＯＰＩＸ－１７　自動車・輸送機,1,,,
1623,ＴＯＰＩＸ－１７　鉄鋼・非鉄,1,,,
1624,ＴＯＰＩＸ－１７　機械,1,,,
1625,ＴＯＰＩＸ－１７　電機・精密,1,,,
1626,ＴＯＰＩＸ－１７情報通信・サービスその他,1,,,
1627,ＴＯＰＩＸ－１７　電力・ガス,1,,,
1628,ＴＯＰＩＸ－１７　運輸・物流,1,,,
1629,ＴＯＰＩＸ－１７　商社・卸売,1,,,
1630,ＴＯＰＩＸ－１７　小売,1,,,
1631,ＴＯＰＩＸ－１７　銀行,1,,,
1632,ＴＯＰＩＸ－１７　金融（除く銀行）,1,,,
1633,ＴＯＰＩＸ－１７　不動産,1,,,
1651,ダイワ－ＴＯＰＩＸ高配当４０指数,1,,,
1652,ダイワ－ＭＳＣＩ日本株女性活躍指数,1,,,
1653,ダイワ－ＭＳＣＩジャパンＥＳＧセレクト,1,,,
1654,ダイワ－ＦＴＳＥＢｌｏｓｓｏｍＪａｐａｎ,1,,,
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株,1,,,
1656,ｉシェアーズ・コア　米国債７－１０年,1,,,
