ÉRÅ[Éh,ì˙ï ,ì˙ï ,édä|ÇØã÷é~
4192,20220710,20220802,1
2484,20220723,20220810,1
7707,20220706,20220807,1
3667,20220707,20220711,1
7727,20220726,20220807,1
3995,20220729,20220802,1
7859,20220810,20220815,1
4475,20220812,20220822,1
6338,20220815,20220817,1
7375,20220816,20220818,1
4493,20220822,20220824,1
6096,20220823,20220830,1
3053,20220824,20220826,1
6054,20220824,20220826,1
3660,20220826,20220901,1
4934,20220906,20220912,1
2138,20220907,20221012,1
9610,20220908,20220913,1
4165,20220909,20220914,1
4170,20220909,20220914,1
8202,20220912,20220915,1
4541,20220912,20220915,1
8077,20220914,20220916,1
4382,20220915,20220920,1
4541,20220916,20220922,1
4934,20220920,20220923,1
4382,20220921,20220926,1
4382,20220921,20220926,1
1518,20220101,20220110,1
2195,20220101,20220110,1
2303,20220101,20220110,1
2934,20220101,20220110,1
3661,20220101,20220110,1
3691,20220101,20220110,1
3856,20220101,20220110,1
4255,20220101,20220110,1
4259,20220101,20220110,1
4260,20220101,20220110,1
4261,20220101,20220110,1
4264,20220101,20220110,1
4379,20220101,20220110,1
4412,20220101,20220110,1
4416,20220101,20220110,1
4417,20220101,20220110,1
4437,20220101,20220110,1
4591,20220101,20220110,1
6094,20220101,20220110,1
7049,20220101,20220110,1
7133,20220101,20220110,1
9212,20220101,20220110,1
9254,20220101,20220110,1
9258,20220101,20220110,1
9522,20220101,20220110,1
4934,20220926,20220930,1
4382,20220927,20221003,1
5986,20220927,20221003,1
2138,20220930,20221005,1
1407,20220117,20220122,1
2195,20220117,20220122,1
2427,20220117,20220122,1
2484,20220117,20220122,1
2927,20220117,20220122,1
3021,20220117,20220122,1
3168,20220117,20220122,1
3267,20220117,20220122,1
3558,20220117,20220122,1
3562,20220117,20220122,1
3604,20220117,20220122,1
3691,20220117,20220122,1
3853,20220117,20220122,1
3960,20220117,20220122,1
3987,20220117,20220122,1
3991,20220117,20220122,1
4015,20220117,20220122,1
4017,20220117,20220122,1
4055,20220117,20220122,1
4125,20220117,20220122,1
4256,20220117,20220122,1
4260,20220117,20220122,1
4356,20220117,20220122,1
4370,20220117,20220122,1
4412,20220117,20220122,1
4418,20220117,20220122,1
4475,20220117,20220122,1
4477,20220117,20220122,1
4594,20220117,20220122,1
4645,20220117,20220122,1
4673,20220117,20220122,1
4885,20220117,20220122,1
5817,20220117,20220122,1
6086,20220117,20220122,1
6334,20220117,20220122,1
6521,20220117,20220122,1
6522,20220117,20220122,1
6541,20220117,20220122,1
6558,20220117,20220122,1
6668,20220117,20220122,1
6814,20220117,20220122,1
7074,20220117,20220122,1
7086,20220117,20220122,1
7373,20220117,20220122,1
7420,20220117,20220122,1
7777,20220117,20220122,1
7816,20220117,20220122,1
8097,20220117,20220122,1
8139,20220117,20220122,1
9145,20220117,20220122,1
9211,20220117,20220122,1
9250,20220117,20220122,1
